# Logfile created on 2026-03-11 20:59:55 +0100 by logger.rb/v1.5.3
2026-03-11 20:59:55 +0100: Memory Usage (449768K) : recog_pdiode has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (449768K) : recog_mom has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (449896K) : recog_pcm has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (449896K) : colopen_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (449896K) : graphmetal1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450024K) : graphmetal1_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450024K) : graphmetal1_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450024K) : graphmetal1_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450024K) : graphmetal1_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450152K) : graphmet1l_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450152K) : graphmet1l_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450152K) : graphmet1l_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450280K) : graphmet1l_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450280K) : graphmet1l_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450280K) : extblock_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450408K) : nldd_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450408K) : pldd_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450408K) : next_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450536K) : pext_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450536K) : nexthv_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450664K) : pexthv_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450664K) : graphgate_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450792K) : sinwg_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450792K) : sinwg_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450792K) : sinwg_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450920K) : mempad_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (450920K) : topvia1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451048K) : topmetal1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451048K) : topmetal1_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451176K) : topmetal1_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451176K) : topmetal1_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451176K) : topmetal1_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451176K) : topmetal1_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451304K) : topmetal1_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451304K) : topmetal1_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451304K) : topmetal1_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451432K) : topmetal1_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451432K) : topmetal1_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451432K) : inldpwl_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451560K) : polyres_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451560K) : polyres_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451560K) : vmim_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451688K) : nbulaycut_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451688K) : antmetal1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451816K) : topvia2_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451816K) : topmetal2_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451816K) : topmetal2_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451944K) : topmetal2_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (451944K) : topmetal2_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452072K) : topmetal2_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452072K) : topmetal2_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452072K) : topmetal2_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452200K) : topmetal2_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452200K) : topmetal2_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452328K) : topmetal2_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452328K) : topmetal2_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452456K) : snsring_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452456K) : sensor_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452456K) : snsarms_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452584K) : snscmosvia_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452584K) : colwind_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452712K) : flm_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452712K) : hafniumox_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452840K) : memvia_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452840K) : thinfilmres_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452840K) : rfmem_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452968K) : norcx_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (452968K) : norcx_m2m3 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453096K) : norcx_m2m4 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453096K) : norcx_m2m5 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453224K) : norcx_m2tm1 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453224K) : norcx_m2tm2 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453224K) : norcx_m3m4 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453352K) : norcx_m3m5 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453352K) : norcx_m3tm1 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453480K) : norcx_m3tm2 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453480K) : norcx_m4m5 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453480K) : norcx_m4tm1 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453480K) : norcx_m4tm2 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453480K) : norcx_m5tm1 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453480K) : norcx_m5tm2 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453608K) : norcx_tm1tm2 has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453608K) : norcx_m1sub has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453608K) : norcx_m2sub has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453736K) : norcx_m3sub has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453736K) : norcx_m4sub has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453736K) : norcx_m5sub has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453864K) : norcx_tm1sub has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453864K) : norcx_tm2sub has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453864K) : snsbotvia_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453864K) : snstopvia_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453992K) : deepvia_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453992K) : fgetch_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (453992K) : ctrgat_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454120K) : fgimp_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454120K) : emwihv_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454120K) : lbe_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454248K) : alcustop_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454248K) : nometfiller_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454248K) : prboundary_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454248K) : exchange0_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454376K) : exchange0_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454376K) : exchange0_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454376K) : exchange1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454504K) : exchange1_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454504K) : exchange1_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454504K) : exchange2_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454504K) : exchange2_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (454632K) : exchange2_text has 0 polygons
